"datetime","HydroenergyGeneration","HydroPercentage","Pumped storageenergyGeneration","Pumped storagePercentage","NuclearenergyGeneration","NuclearPercentage","CoalenergyGeneration","CoalPercentage","Fuel  GasenergyGeneration","Fuel  GasPercentage","Diesel enginesenergyGeneration","Diesel enginesPercentage","Gas turbineenergyGeneration","Gas turbinePercentage","Steam turbineenergyGeneration","Steam turbinePercentage","Combined cycleenergyGeneration","Combined cyclePercentage","WindenergyGeneration","WindPercentage","Solar photovoltaicenergyGeneration","Solar photovoltaicPercentage","Thermal solarenergyGeneration","Thermal solarPercentage","Other renewablesenergyGeneration","Other renewablesPercentage","CogenerationenergyGeneration","CogenerationPercentage","Nonrenewable wasteenergyGeneration","Nonrenewable wastePercentage","Renewable wasteenergyGeneration","Renewable wastePercentage","Total generationenergyGeneration","Total generationPercentage"
2012-02-21T00:00:00.000+01:00,49999.533,0.0565513837656234,3104.594,0.00351141453122076,177475.368,0.2007314277258,226352.307,0.256013114750316,15.084,1.70605808002379e-05,9725.237,0.0109996149323763,1684.311,0.0019050201477214,5469.815,0.00618656992640238,216967.677,0.245398739359482,47230.451,0.0534194461361163,25093.095,0.0283812499851198,7815.144,0.00883922670892964,10256.628,0.0116006384733481,96411.493,0.109045085282291,4491.8475,0.00508045128719814,2050.8205,0.002319556407255,884143.405,1
2012-02-22T00:00:00.000+01:00,45326.093,0.0507540533471506,3451.972,0.00386535788647987,154129.191,0.172586708110209,238179.267,0.266702078723247,19.925,2.23110893970494e-05,9696.986,0.0108582344556054,2153.314,0.00241118098639488,6538.542,0.00732155558787264,223108.515,0.249826550735656,62950.654,0.0704892180174016,26684.01,0.0298795148096241,8488.15,0.00950463605849762,9824.257,0.0110007466091136,96338.013,0.107874831637496,4265.831,0.00477667938738794,1898.938,0.00212634255846696,893053.658,1
2012-02-23T00:00:00.000+01:00,35811.366,0.0404819261255298,4709.159,0.00532333300973143,163853.762,0.185223760765622,226857.329,0.256444326463643,8.256,9.33275715012866e-06,9943.021,0.0112398013967574,2355.574,0.00266279070871574,7107.436,0.00803439609351766,192868.475,0.218022606479004,92890.782,0.105005706139964,26954.103,0.030469488553604,9173.923,0.0103703967384908,9620.863,0.0108756271746195,96546.589,0.109138307753183,4066.274,0.00459660219814465,1859.128,0.00210159764232127,884626.04,1
2012-02-24T00:00:00.000+01:00,41970.466,0.0489182823932529,8666.973,0.0101017089662216,174511.363,0.203400079857714,224660.375,0.261850789715418,-4.83,5.62956112899513e-06,10059.811,0.0117251182133825,2042.624,0.00238076121564235,6812.904,0.00794071625962224,178769.194,0.208362754783476,60949.201,0.0710387686941845,25786.378,0.0300550706514234,9684.098,0.0112872094555237,10432.385,0.0121593683392778,97438.82,0.113568901351377,4299.479,0.00501121736093806,1882.065,0.00219362318141661,857961.306,1
2012-02-25T00:00:00.000+01:00,36691.182,0.0491180848176349,4125.754,0.00552310184252708,179450.311,0.240228172432519,215592.767,0.288611683743919,-18.673,2.49973412630778e-05,9963.103,0.0133374972275582,1634.318,0.00218784366616991,5884.011,0.00787686129506257,107832.815,0.144354612323319,53321.196,0.0713805030240163,25618.002,0.0342945396279231,9913.879,0.0132716015960938,10425.115,0.0139559876485745,80337.579,0.107547040031729,4311.4075,0.00577163415635907,1879.3305,0.00251583922533126,746962.097,1
2012-02-26T00:00:00.000+01:00,22846.108,0.0309769111621153,17010.164,0.0230639870511429,179103.454,0.242845380201564,142741.051,0.193541799592909,-18.804,2.54962393372392e-05,9458.139,0.012824238227445,1278.015,0.00173285345227514,5374.538,0.0072873062739357,57284.118,0.0776712179722747,176286.449,0.239025818741545,24439.545,0.0331374435552663,6727.456,0.0091217202885953,10403.187,0.0141056235706262,77764.043,0.105439834724493,4629.3955,0.00627697168978612,2156.0655,0.00292339725668817,737482.924,1
2012-02-27T00:00:00.000+01:00,29501.264,0.0352322728275659,10013.028,0.0119581904804505,178284.906,0.212919095576004,194486.523,0.232268089923898,-7.428,8.87098676731815e-06,10034.286,0.0119835781267482,1972.059,0.00235515741698582,6546.082,0.00781774458801555,135526.561,0.16185437927452,123892.311,0.14796002308205,25825.448,0.0308423811884845,7583.453,0.00905663855864016,11000.439,0.0131374190635017,95845.332,0.114464549257029,4630.2935,0.00552978895628692,2186.9725,0.00261182069305179,837321.53,1
2012-02-28T00:00:00.000+01:00,34958.173,0.042249898216658,8425.731,0.010183206003098,175369.109,0.211948347689566,222009.895,0.26831766828435,-4.803,5.80483027916271e-06,9856.003,0.0119118102531581,1877.738,0.00226940462184768,7570.184,0.0091492053512457,165289.172,0.199765894325075,56205.864,0.067929523467354,24705.191,0.0298583053860708,7390.018,0.00893145955651831,11268.268,0.0136186515261545,95821.65,0.115808539520993,4472.453,0.00540533637237812,2190.12,0.00264694459525293,827404.766,1
2012-02-29T00:00:00.000+01:00,40664.183,0.0498519982554086,7188.666,0.00881289966875063,177329.759,0.217396297776351,221484.107,0.27152704176461,-8.767,1.0747848265024e-05,9722.547,0.0119192950730654,1993.08,0.00244340383484133,6331.95,0.00776261410080056,177160.549,0.217188855845824,28056.425,0.0343955969840339,24922.544,0.0305536353701818,7586.881,0.00930108883230219,11241.807,0.013781822272235,95208.997,0.116720868395246,4592.9635,0.00563071458706438,2204.9295,0.00270311939102032,815680.621,1
2012-03-01T00:00:00.000+01:00,42301.263,0.0523046183983634,3590.324,0.00443935980697516,177447.802,0.219410459901359,219698.928,0.271653084957995,-11.896,1.47091527850346e-05,9586.488,0.0118534899683844,1575.774,0.00194841127443553,6892.934,0.00852296732877939,177574.515,0.219567137849985,30918.098,0.0382295752609846,23302.016,0.0288124507013551,3603.933,0.00445618704808575,10755.807,0.0132993282186739,94481.617,0.116824524195538,4825.4075,0.00596651447272628,2181.3405,0.00269718146357462,808724.351,1
